,vacancy_name,company_name,city,salary_min,salary_max,salary_currency,vacancy_link,site
0,Python-разработчик,Сбер. IT,Москва,,,,https://hh.ru/vacancy/46558794,www.hh.ru
1,Middle Python developer,IBA Group,Минск,,,,https://hh.ru/vacancy/44343327,www.hh.ru
2,Junior Python Developer,QIWI,Москва,,,,https://hh.ru/vacancy/46629994,www.hh.ru
3,"Junior Python разработчик ,удаленно",ООО е.Ком,Москва,По договорённости,По договорённости,-,https://hh.ru/vacancy/46428148,www.hh.ru
4,Junior Python developer (в Сочи),"ООО Привет, Интернет",Сочи,65 000,,['руб.'],https://hh.ru/vacancy/45849649,www.hh.ru
5,"Junior программист python, django, удалённо",KIAN,Барнаул,,,,https://hh.ru/vacancy/46442719,www.hh.ru
6,Python developer / data engineer (Jun->Mid),Wunder Fund,Москва,По договорённости,По договорённости,-,https://hh.ru/vacancy/46392030,www.hh.ru
7,Программист Python,ООО УРОВЕНЬ,Москва,,350 000,['руб.'],https://hh.ru/vacancy/46314108,www.hh.ru
8,Python-разработчик,ivi,Москва,По договорённости,По договорённости,-,https://hh.ru/vacancy/45309802,www.hh.ru
9,Junior Python Developer,ООО НТехЛаб,Москва,,,,https://hh.ru/vacancy/46391520,www.hh.ru
10,Junior разработчик Python Django,ООО Инсейлс Рус,Москва,По договорённости,По договорённости,-,https://hh.ru/vacancy/45517979,www.hh.ru
11,Младший Python-разработчик,"Mail.ru Group, Другое",Москва,,,,https://hh.ru/vacancy/46601004,www.hh.ru
12,Стажер SberSeasons (SQL / Python),Сбер для экспертов,Екатеринбург,,,,https://hh.ru/vacancy/46644005,www.hh.ru
13,Младший разработчик Python,Exactpro,Саратов,По договорённости,По договорённости,-,https://hh.ru/vacancy/46657884,www.hh.ru
14,Junior Python Developer (Начинающий разработчик Python),ООО Гексагон,Москва,По договорённости,По договорённости,-,https://hh.ru/vacancy/46525324,www.hh.ru
15,Python-разработчик,FunBox,Санкт-Петербург,130 000,,['руб.'],https://hh.ru/vacancy/46412760,www.hh.ru
16,"Python-разработчик (Django, DRF)",ООО Фабрика Решений,Москва,По договорённости,По договорённости,-,https://hh.ru/vacancy/39736489,www.hh.ru
17,Программист Python,ООО Карренси Ком Бел,Минск,,,,https://hh.ru/vacancy/46551542,www.hh.ru
18,Junior+ Python Back End Developer,EVO,Киев,,2 000,['USD'],https://hh.ru/vacancy/46309261,www.hh.ru
19,Разработчик Python ( middle),ООО Диджитал Энерджи,Москва,По договорённости,По договорённости,-,https://hh.ru/vacancy/46495424,www.hh.ru
20,Senior Python developer,SATVASPACE,Тверь,,250 000,['руб.'],https://hh.ru/vacancy/46674084,www.hh.ru
21,Python-developer,ООО Алма,Казань,По договорённости,По договорённости,-,https://hh.ru/vacancy/46204923,www.hh.ru
22,Разработчик на Python,ООО Телеком-Инжиниринг,Новосибирск,60 000,,['руб.'],https://hh.ru/vacancy/46368762,www.hh.ru
23,Разработчик Python,"Hi, Rockits!",Москва,,200 000,['руб.'],https://hh.ru/vacancy/43528617,www.hh.ru
24,Python Developer (Middle/Senior),Sibedge,Нижний Новгород,200 000,,['руб.'],https://hh.ru/vacancy/45312291,www.hh.ru
25,Python developer,Blue underlined link,Москва,150 000,,['руб.'],https://hh.ru/vacancy/46513996,www.hh.ru
26,Python backend developer,O.Vision,Санкт-Петербург,100 000,,['руб.'],https://hh.ru/vacancy/46245740,www.hh.ru
27,Python-разработчик,ЗАО НОРСИ-ТРАНС,Казань,По договорённости,По договорённости,-,https://hh.ru/vacancy/46603537,www.hh.ru
28,Программист Python,ООО УЦАР,Екатеринбург,По договорённости,По договорённости,-,https://hh.ru/vacancy/46265638,www.hh.ru
29,Python Программист,Сеть магазинов цифровой и бытовой техники DNS,Владивосток,100 000,,['руб.'],https://hh.ru/vacancy/46282671,www.hh.ru
30,Python Developer,LOOQME,Киев,,7 000,['USD'],https://hh.ru/vacancy/46666091,www.hh.ru
31,Senior Python Developer,Top Remote Talent,Москва,По договорённости,По договорённости,-,https://hh.ru/vacancy/46439735,www.hh.ru
32,Python-разработчик (Middle),Латера,Москва,,220 000,['руб.'],https://hh.ru/vacancy/46518997,www.hh.ru
33,Middle/Senior Python Django developer,ООО БОЛЬШАЯ ТРОЙКА,Москва,По договорённости,По договорённости,-,https://hh.ru/vacancy/46023270,www.hh.ru
34,Ведущий разработчик Python,ООО Компания БИО-ТОН,Самара,По договорённости,По договорённости,-,https://hh.ru/vacancy/45826170,www.hh.ru
35,Разработчик Python\Django (middle\senior),ООО СофтМедиаЛаб,Алматы,По договорённости,По договорённости,-,https://hh.ru/vacancy/46331441,www.hh.ru
36,Программист Python,Билайн,Новосибирск,,,,https://hh.ru/vacancy/46202371,www.hh.ru
37,Middle/Senior Python Developer,ООО Юнайтед Иншуренс Компани,Москва,,220 000,['руб.'],https://hh.ru/vacancy/46008191,www.hh.ru
38,Программист Python,ООО Симдев,Ульяновск,,,,https://hh.ru/vacancy/46554109,www.hh.ru
39,Python-разработчик в R&D отдел,ООО Селфсек,Санкт-Петербург,По договорённости,По договорённости,-,https://hh.ru/vacancy/45971230,www.hh.ru
40,Senior Python разработчик,Ассоциация IPChain,Москва,240 000,,['руб.'],https://hh.ru/vacancy/42600063,www.hh.ru
41,Python backend developer,ООО Технологии оптимизации рекламы,Санкт-Петербург,,,,https://hh.ru/vacancy/46530579,www.hh.ru
42,Python developer,Loyalty Labs,Санкт-Петербург,160 000,,['руб.'],https://hh.ru/vacancy/46046293,www.hh.ru
43,Программист Python,Деловые люди,Уссурийск,По договорённости,По договорённости,-,https://hh.ru/vacancy/46252402,www.hh.ru
44,Разработчик / Инженер-программист (Python),NGENIX,Москва,,230 000,['руб.'],https://hh.ru/vacancy/46548267,www.hh.ru
45,Data Engineer (Python),Тинькофф,Санкт-Петербург,,,,https://hh.ru/vacancy/44310016,www.hh.ru
46,Senior Backend Разработчик (Python),Life Vision,США,,4 000,['USD'],https://hh.ru/vacancy/46621851,www.hh.ru
47,Python Developer,B2Broker Киев,Киев,По договорённости,По договорённости,-,https://hh.ru/vacancy/42992983,www.hh.ru
48,Data Scientist/Python Developer (remote),Nitka Technologies,Ростов-на-Дону,,,,https://hh.ru/vacancy/46595140,www.hh.ru
49,Data Scientist/Python Developer (remote),Nitka Technologies,Самара,,,,https://hh.ru/vacancy/46595178,www.hh.ru
50,Python-разработчик,Surf,Воронеж,,,,https://hh.ru/vacancy/46674077,www.hh.ru
51,Middle/Senior Python Developer,ООО Юнайтед Иншуренс Компани,Москва,,220 000,['руб.'],https://hh.ru/vacancy/46008191,www.hh.ru
52,Python разработчик,Wanted,Кипр,,3 500,['EUR'],https://hh.ru/vacancy/46652097,www.hh.ru
53,Python-разработчик,ЗАО НОРСИ-ТРАНС,Казань,По договорённости,По договорённости,-,https://hh.ru/vacancy/46603537,www.hh.ru
54,Программист Python (Junior),ООО Открытые Бизнес Технологии,Волгоград,,,,https://hh.ru/vacancy/45795655,www.hh.ru
55,Data Scientist/Python Developer (remote),Nitka Technologies,Ижевск,,,,https://hh.ru/vacancy/46595125,www.hh.ru
56,Middle Full-Stack Python Developer,АО Казахстанская фондовая биржа,Алматы,,,,https://hh.ru/vacancy/46070213,www.hh.ru
57,Data Scientist/Python Developer (remote),Nitka Technologies,Казань,,,,https://hh.ru/vacancy/46595156,www.hh.ru
58,Senior Python developer,AppQuantum,Москва,200 000,,['руб.'],https://hh.ru/vacancy/46327140,www.hh.ru
59,Backend разработчик Django/Python,Новые технологии,Кострома,100 000,,['руб.'],https://hh.ru/vacancy/43955935,www.hh.ru
60,Middle c++\python engineer,ООО Райтек,Москва,По договорённости,По договорённости,-,https://hh.ru/vacancy/45924191,www.hh.ru
61,Back-end разработчик (Python),ООО Юникорн,Пермь,,,,https://hh.ru/vacancy/43325863,www.hh.ru
62,Junior Python - разработчик,АО Воронежский опытный завод программной продукции,Воронеж,,,,https://hh.ru/vacancy/46507141,www.hh.ru
63,Python Team Lead,WILDBERRIES,Самара,,,,https://hh.ru/vacancy/45843922,www.hh.ru
64,Middle Python Developer,NIX,Харьков,,,,https://hh.ru/vacancy/45273971,www.hh.ru
65,Middle/Senior Python Developer (Программист Python),Rainforest Life Pte Ltd,Санкт-Петербург,,,,https://hh.ru/vacancy/46100593,www.hh.ru
66,Lead Python Engineer (FinTech),ООО 4bill,Киев,,,,https://hh.ru/vacancy/46671917,www.hh.ru
67,Разработчик Python,Shterkel Systems,Челябинск,По договорённости,По договорённости,-,https://hh.ru/vacancy/46500642,www.hh.ru
68,Разработчик Python,АО ФинТех,Москва,,,,https://hh.ru/vacancy/46522204,www.hh.ru
69,Python Developer,ООО Цифровое проектирование,Санкт-Петербург,,,,https://hh.ru/vacancy/42516416,www.hh.ru
70,"Web-разработчик (React, Python)",BeeJee,Киев,По договорённости,По договорённости,-,https://hh.ru/vacancy/45795350,www.hh.ru
71,Full Stack Developer (Python),ООО 4bill,Киев,,,,https://hh.ru/vacancy/46671993,www.hh.ru
72,Python-разработчик,ООО Регистратор доменных имен РЕГ.РУ,Самара,,,,https://hh.ru/vacancy/40404075,www.hh.ru
73,Бэкенд-разработчик (Python)/ Middle Python/ Python Developer (Remote),"ЮТэйр, Авиакомпания",Самара,По договорённости,По договорённости,-,https://hh.ru/vacancy/45244551,www.hh.ru
74,Middle / Senior Python Software Engineer,Godel Technologies Europe,Киев,,,,https://hh.ru/vacancy/46666387,www.hh.ru
75,Middle/Senior python/Go разработчик,Quiet Media,Москва,,,,https://hh.ru/vacancy/44685175,www.hh.ru
76,Senior Python developer,AppQuantum,Москва,200 000,,['руб.'],https://hh.ru/vacancy/46327140,www.hh.ru
77,Python программист (Наставник онлайн-курса по Python),Hexlet,Москва,,,,https://hh.ru/vacancy/46207062,www.hh.ru
78,Middle Python Developer,ScrumLaunch,Харьков,,,,https://hh.ru/vacancy/44947255,www.hh.ru
79,Python разработчик (middle),MyTona,Санкт-Петербург,,,,https://hh.ru/vacancy/45528071,www.hh.ru
80,Разработчик Python,ООО ЕВАППС,Тула,По договорённости,По договорённости,-,https://hh.ru/vacancy/44936197,www.hh.ru
81,Python Developer,OpenWeather,Москва,2 000,,['EUR'],https://hh.ru/vacancy/46351042,www.hh.ru
82,Backend Python Developer (удалённо),IT_Selection,Москва,По договорённости,По договорённости,-,https://hh.ru/vacancy/46510274,www.hh.ru
